X wfh_n_now full_time weekday n perc
1 1 full_time    monday  24 0.158940397
2 1 full_time   tuesday  23 0.152317881
3 1 full_time wednesday  27 0.178807947
4 1 full_time  thursday  27 0.178807947
5 1 full_time    friday  61 0.403973510
6 1 full_time  saturday   6 0.039735099
7 1 full_time    sunday   1 0.006622517
8 1 mult_part_time    monday   1 0.142857143
9 1 mult_part_time   tuesday   1 0.142857143
10 1 mult_part_time  thursday   2 0.285714286
11 1 mult_part_time    friday   2 0.285714286
12 1 mult_part_time    sunday   1 0.142857143
13 1 part_time    monday  27 0.270000000
14 1 part_time   tuesday  17 0.170000000
15 1 part_time wednesday  20 0.200000000
16 1 part_time  thursday  21 0.210000000
17 1     part_time    friday  23 0.230000000
18 1      part_time  saturday   2 0.020000000
19 1      part_time    sunday   1 0.010000000
20 2      full_time    monday  57 0.413043478
21 2      full_time   tuesday  39 0.282608696
22 2      full_time wednesday  48 0.347826087
23 2      full_time  thursday  46 0.333333333
24 2      full_time    friday  86 0.623188406
25 2      full_time  saturday   2 0.014492754
26 2      full_time    sunday   1 0.007246377
27 2 mult_part_time    monday   3 0.600000000
28 2 mult_part_time   tuesday   3 0.600000000
29 2 mult_part_time wednesday   3 0.600000000
30 2 mult_part_time  thursday   2 0.400000000
31 2 mult_part_time    friday   2 0.400000000
32 2 mult_part_time  saturday   1 0.200000000
33 2 mult_part_time    sunday   1 0.200000000
34 2      part_time    monday  34 0.395348837
35 2      part_time   tuesday  31 0.360465116
36 2      part_time wednesday  40 0.465116279
37 2      part_time  thursday  35 0.406976744
38 2      part_time    friday  34 0.395348837
39 2      part_time  saturday   1 0.011627907
40 2      part_time    sunday   1 0.011627907
41 3      full_time    monday  84 0.705882353
42 3      full_time   tuesday  51 0.428571429
43 3      full_time wednesday  58 0.487394958
44 3      full_time  thursday  57 0.478991597
45 3      full_time    friday 102 0.857142857
46 3      full_time  saturday   2 0.016806723
47 3      full_time    sunday   1 0.008403361
48 3 mult_part_time    monday   4 1.000000000
49 3 mult_part_time   tuesday   3 0.750000000
50 3 mult_part_time wednesday   2 0.500000000
51 3 mult_part_time    friday   3 0.750000000
52 3 mult_part_time  saturday   1 0.250000000
53 3 mult_part_time    sunday   1 0.250000000
54 3      part_time    monday  27 0.613636364
55 3      part_time   tuesday  27 0.613636364
56 3      part_time wednesday  25 0.568181818
57 3      part_time  thursday  25 0.568181818
58 3      part_time    friday  24 0.545454545
59 3      part_time  saturday   2 0.045454545
60 4      full_time    monday  61 0.792207792
61 4      full_time   tuesday  44 0.571428571
62 4      full_time wednesday  50 0.649350649
63 4      full_time  thursday  54 0.701298701
64 4      full_time    friday  74 0.961038961
65 4      full_time  saturday   5 0.064935065
66 4      full_time    sunday   5 0.064935065
67 4 mult_part_time    monday   3 1.000000000
68 4 mult_part_time   tuesday   3 1.000000000
69 4 mult_part_time wednesday   1 0.333333333
70 4 mult_part_time  thursday   3 1.000000000
71 4 mult_part_time    friday   2 0.666666667
72 4      part_time    monday  18 0.782608696
73 4      part_time   tuesday  13 0.565217391
74 4      part_time wednesday  20 0.869565217
75 4      part_time  thursday  16 0.695652174
76 4      part_time    friday  19 0.826086957
77 4      part_time  saturday   3 0.130434783
78 4      part_time    sunday   3 0.130434783
79 5      full_time    monday  46 0.978723404
80 5      full_time   tuesday  46 0.978723404
81 5      full_time wednesday  44 0.936170213
82 5      full_time  thursday  47 1.000000000
83 5      full_time    friday  46 0.978723404
84 5      full_time  saturday   5 0.106382979
85 5      full_time    sunday   4 0.085106383
86 5 mult_part_time    monday   5 1.000000000
87 5 mult_part_time   tuesday   4 0.800000000
88 5 mult_part_time wednesday   5 1.000000000
89 5 mult_part_time  thursday   5 1.000000000
90 5 mult_part_time    friday   4 0.800000000
91 5 mult_part_time  saturday   2 0.400000000
92 5 mult_part_time    sunday   2 0.400000000
93 5      part_time    monday  18 1.000000000
94 5      part_time   tuesday  18 1.000000000
95 5      part_time wednesday  17 0.944444444
96 5      part_time  thursday  15 0.833333333
97 5      part_time    friday  15 0.833333333
98 5      part_time  saturday   3 0.166666667
99 5      part_time    sunday   3 0.166666667
