participant_id,sex,age_class,car_availability,income_class,bike_availability,marital_status,pt_subscription,hh_size_total
30005,0.0,6,0.0,4.0,0.0,1.0,True,4
30007,1.0,6,0.0,4.0,1.0,1.0,True,2
30008,1.0,4,0.0,2.0,0.0,0.0,True,1
30009,0.0,6,0.0,5.0,1.0,0.0,True,2
30010,1.0,6,0.0,3.0,0.0,1.0,True,4
30011,0.0,6,0.0,4.0,0.0,1.0,True,2
30012,0.0,5,0.0,5.0,1.0,1.0,True,2
30013,1.0,6,0.0,-1.0,0.0,1.0,False,4
30016,0.0,6,0.0,5.0,0.0,1.0,True,2
30018,1.0,6,0.0,4.0,0.0,1.0,False,2
30026,0.0,5,0.0,4.0,0.0,0.0,True,3
30028,0.0,5,0.0,3.0,0.0,1.0,True,4
30038,0.0,6,0.0,2.0,0.0,1.0,True,4
30042,0.0,6,0.0,4.0,0.0,2.0,True,2
30044,0.0,7,0.0,2.0,0.0,1.0,True,2
30045,1.0,6,0.0,5.0,0.0,1.0,True,4
30049,0.0,5,0.0,3.0,0.0,0.0,True,2
30053,1.0,5,0.0,3.0,0.0,1.0,True,5 or more
30055,0.0,3,,3.0,1.0,0.0,True,3
30057,0.0,5,0.0,5.0,0.0,1.0,True,2
30059,1.0,4,,2.0,1.0,0.0,True,2
30060,0.0,6,1.0,2.0,0.0,0.0,True,1
30062,1.0,6,0.0,3.0,0.0,1.0,True,2
30063,1.0,6,1.0,4.0,0.0,0.0,True,2
30064,1.0,7,0.0,2.0,1.0,2.0,True,1
30068,1.0,5,0.0,4.0,0.0,1.0,True,2
30072,1.0,5,0.0,3.0,0.0,0.0,True,2
30074,1.0,6,0.0,4.0,0.0,1.0,True,2
30076,1.0,6,0.0,5.0,0.0,1.0,True,2
30077,1.0,5,0.0,2.0,0.0,1.0,False,3
30080,0.0,5,2.0,1.0,2.0,0.0,True,1
30081,0.0,5,0.0,4.0,0.0,1.0,True,5 or more
30083,0.0,6,2.0,5.0,0.0,0.0,True,4
30089,1.0,5,0.0,1.0,0.0,0.0,True,2
30090,1.0,5,2.0,2.0,0.0,0.0,True,2
30092,1.0,6,0.0,3.0,0.0,2.0,True,3
30093,1.0,5,2.0,3.0,1.0,1.0,True,4
30099,1.0,6,0.0,5.0,0.0,1.0,True,2
30100,1.0,6,0.0,3.0,0.0,1.0,True,2
30102,1.0,6,0.0,3.0,0.0,1.0,True,4
30103,0.0,7,0.0,3.0,0.0,1.0,True,2
30105,0.0,5,0.0,2.0,0.0,1.0,True,4
30108,1.0,3,,1.0,2.0,0.0,True,1
30109,1.0,4,1.0,1.0,0.0,0.0,True,2
30113,1.0,6,0.0,2.0,0.0,0.0,True,3
30114,0.0,7,2.0,3.0,0.0,1.0,True,2
30115,0.0,5,0.0,5.0,0.0,1.0,True,4
30116,0.0,5,0.0,4.0,1.0,1.0,True,3
30118,1.0,5,0.0,2.0,0.0,0.0,False,3
30119,0.0,7,0.0,2.0,0.0,1.0,True,2
30124,0.0,6,0.0,4.0,0.0,0.0,True,1
30134,1.0,5,0.0,3.0,0.0,1.0,True,2
30136,1.0,4,2.0,1.0,0.0,0.0,True,3
30138,1.0,6,0.0,4.0,0.0,1.0,True,4
30140,1.0,5,0.0,4.0,0.0,2.0,True,2
30147,0.0,6,0.0,5.0,0.0,1.0,True,3
30148,0.0,6,2.0,4.0,0.0,1.0,True,2
30149,0.0,6,0.0,4.0,0.0,1.0,True,3
30151,0.0,5,0.0,5.0,0.0,0.0,True,2
30161,0.0,6,0.0,3.0,1.0,1.0,False,2
30167,0.0,6,1.0,3.0,0.0,1.0,True,2
30168,1.0,6,0.0,4.0,0.0,1.0,True,2
30169,0.0,6,0.0,-1.0,1.0,1.0,True,3
30171,0.0,5,2.0,3.0,0.0,1.0,True,3
30174,1.0,6,2.0,2.0,0.0,1.0,True,2
30176,0.0,6,0.0,3.0,1.0,2.0,True,1
30177,0.0,6,0.0,3.0,0.0,1.0,True,4
30180,1.0,6,0.0,5.0,0.0,1.0,False,2
30183,1.0,3,2.0,1.0,0.0,0.0,True,2
30184,1.0,6,0.0,2.0,0.0,2.0,False,2
30185,1.0,4,0.0,1.0,0.0,0.0,True,2
30186,0.0,6,0.0,3.0,1.0,1.0,True,3
30190,0.0,6,0.0,3.0,0.0,0.0,True,2
30192,0.0,6,0.0,2.0,0.0,1.0,True,5 or more
30193,0.0,5,0.0,-1.0,0.0,1.0,False,4
30196,0.0,6,0.0,5.0,0.0,1.0,True,2
30199,1.0,6,1.0,2.0,0.0,0.0,True,1
30200,0.0,5,0.0,3.0,1.0,1.0,True,4
30203,1.0,5,0.0,3.0,0.0,1.0,True,4
30205,0.0,5,1.0,3.0,0.0,0.0,True,1
30211,0.0,6,0.0,3.0,0.0,1.0,False,4
30214,1.0,5,2.0,3.0,0.0,1.0,True,4
30217,1.0,6,0.0,1.0,0.0,1.0,True,4
30221,1.0,3,1.0,3.0,0.0,0.0,True,2
30222,1.0,6,2.0,3.0,0.0,1.0,True,2
30224,0.0,4,2.0,2.0,1.0,0.0,True,3
30226,1.0,5,2.0,1.0,0.0,1.0,True,3
30229,1.0,5,,3.0,1.0,1.0,True,4
30231,0.0,4,,2.0,0.0,1.0,True,2
30234,0.0,5,0.0,3.0,0.0,0.0,True,1
30235,0.0,5,0.0,5.0,0.0,1.0,False,2
30236,1.0,5,0.0,4.0,0.0,0.0,False,4
30238,1.0,5,0.0,4.0,0.0,1.0,True,4
30240,1.0,6,0.0,1.0,0.0,1.0,True,4
30243,0.0,6,0.0,4.0,0.0,1.0,True,2
30246,0.0,6,1.0,4.0,0.0,0.0,True,1
30248,0.0,6,0.0,2.0,0.0,0.0,False,1
30250,0.0,3,0.0,2.0,0.0,0.0,False,1
30252,0.0,6,0.0,1.0,0.0,0.0,False,2
30253,0.0,7,0.0,2.0,0.0,1.0,True,2
30255,0.0,5,0.0,-1.0,0.0,1.0,False,4
30256,0.0,6,0.0,2.0,0.0,1.0,True,4
30260,0.0,5,0.0,2.0,0.0,1.0,True,4
30265,0.0,5,0.0,3.0,0.0,1.0,False,2
30266,0.0,5,0.0,2.0,0.0,0.0,True,1
30268,0.0,5,0.0,2.0,1.0,0.0,True,1
30269,1.0,5,1.0,2.0,0.0,0.0,True,2
30270,1.0,6,0.0,3.0,0.0,2.0,False,2
30272,0.0,4,2.0,1.0,0.0,0.0,True,4
30274,1.0,4,1.0,3.0,1.0,0.0,True,1
30277,1.0,6,1.0,2.0,0.0,0.0,True,2
30278,1.0,5,0.0,3.0,0.0,1.0,True,5 or more
30281,1.0,5,1.0,2.0,0.0,1.0,True,3
30284,1.0,5,0.0,3.0,0.0,1.0,True,4
30288,1.0,5,,2.0,0.0,0.0,True,1
30294,1.0,5,0.0,5.0,0.0,1.0,True,4
30297,1.0,6,0.0,5.0,0.0,0.0,True,2
30298,1.0,5,,4.0,0.0,1.0,True,3
30303,0.0,5,0.0,3.0,0.0,2.0,False,4
30306,1.0,5,1.0,2.0,0.0,0.0,True,1
30308,0.0,6,0.0,3.0,1.0,2.0,False,3
30310,0.0,5,0.0,3.0,0.0,1.0,True,4
30311,0.0,6,0.0,4.0,0.0,1.0,True,2
30313,1.0,6,0.0,5.0,0.0,1.0,True,4
30316,0.0,6,0.0,4.0,0.0,2.0,True,2
30317,0.0,6,0.0,4.0,0.0,2.0,True,2
30318,0.0,5,0.0,2.0,0.0,1.0,True,2
30320,1.0,6,2.0,2.0,0.0,1.0,True,2
30323,0.0,5,0.0,3.0,0.0,1.0,True,4
30327,0.0,6,0.0,2.0,0.0,0.0,True,2
30328,0.0,6,0.0,4.0,0.0,0.0,True,3
30335,0.0,6,2.0,3.0,2.0,1.0,False,4
30337,0.0,6,0.0,2.0,0.0,1.0,True,4
30339,0.0,7,0.0,3.0,0.0,2.0,True,2
30341,0.0,6,0.0,4.0,0.0,1.0,True,2
30342,0.0,6,0.0,4.0,0.0,1.0,True,4
30345,0.0,6,0.0,3.0,0.0,1.0,True,4
30346,0.0,5,0.0,3.0,0.0,0.0,True,2
30349,1.0,4,2.0,2.0,1.0,0.0,True,4
30350,0.0,6,0.0,3.0,0.0,1.0,True,2
30351,0.0,6,0.0,3.0,0.0,1.0,True,4
30352,0.0,3,2.0,4.0,0.0,0.0,True,3
30357,0.0,5,2.0,3.0,0.0,0.0,True,2
30358,1.0,6,2.0,3.0,0.0,1.0,True,2
30362,0.0,7,,2.0,0.0,1.0,True,2
30365,1.0,4,2.0,-1.0,0.0,0.0,True,5 or more
30366,0.0,5,0.0,2.0,2.0,1.0,False,4
30369,1.0,5,0.0,4.0,1.0,0.0,False,2
30370,0.0,5,0.0,3.0,0.0,1.0,True,4
30371,0.0,6,0.0,3.0,0.0,1.0,False,5 or more
30372,0.0,6,0.0,4.0,0.0,0.0,True,5 or more
30373,0.0,6,1.0,2.0,0.0,2.0,True,1
30377,1.0,6,2.0,2.0,0.0,2.0,True,2
30379,1.0,7,0.0,2.0,1.0,1.0,True,2
30382,1.0,7,0.0,2.0,0.0,1.0,True,2
30384,1.0,6,0.0,2.0,0.0,2.0,True,1
30385,1.0,6,0.0,4.0,0.0,1.0,True,2
30386,0.0,5,0.0,3.0,0.0,1.0,True,3
30388,0.0,5,2.0,5.0,0.0,0.0,True,3
30391,0.0,7,0.0,1.0,0.0,0.0,True,2
30394,1.0,4,0.0,2.0,0.0,0.0,True,4
30396,0.0,5,0.0,2.0,0.0,1.0,True,3
30398,1.0,5,0.0,4.0,0.0,0.0,True,3
30399,0.0,6,0.0,2.0,0.0,2.0,True,1
30401,0.0,7,1.0,2.0,0.0,1.0,True,2
30403,1.0,6,0.0,1.0,0.0,1.0,False,5 or more
30408,0.0,6,2.0,3.0,0.0,2.0,True,1
30411,0.0,6,0.0,2.0,0.0,1.0,True,4
30413,1.0,6,2.0,4.0,2.0,1.0,False,2
30414,0.0,5,,2.0,0.0,1.0,True,3
30415,1.0,4,2.0,3.0,0.0,0.0,True,3
30417,1.0,5,1.0,2.0,0.0,2.0,True,3
30418,1.0,3,2.0,1.0,0.0,0.0,True,3
30419,1.0,6,0.0,5.0,0.0,1.0,True,2
30422,1.0,5,0.0,2.0,0.0,0.0,True,4
30426,0.0,5,0.0,5.0,0.0,1.0,True,2
30429,0.0,6,2.0,3.0,0.0,1.0,True,2
30430,0.0,7,2.0,3.0,0.0,1.0,True,2
30431,0.0,5,2.0,5.0,0.0,0.0,True,1
30433,0.0,4,2.0,5.0,0.0,0.0,False,5 or more
30434,0.0,6,0.0,4.0,0.0,1.0,False,4
30435,1.0,6,0.0,2.0,0.0,2.0,False,1
30439,1.0,4,0.0,5.0,1.0,0.0,False,1
30442,1.0,6,0.0,2.0,0.0,1.0,True,5 or more
30444,0.0,5,0.0,2.0,0.0,1.0,False,3
30448,1.0,5,0.0,4.0,0.0,2.0,True,4
30450,0.0,5,0.0,3.0,1.0,1.0,False,2
30454,0.0,5,2.0,2.0,0.0,1.0,True,3
30458,0.0,6,0.0,-1.0,0.0,1.0,True,4
30461,1.0,4,0.0,1.0,0.0,0.0,True,2
30463,1.0,5,2.0,3.0,0.0,1.0,True,4
30464,1.0,6,0.0,3.0,0.0,1.0,True,2
30465,0.0,5,1.0,-1.0,0.0,0.0,True,2
30467,0.0,6,0.0,3.0,0.0,2.0,True,2
30468,1.0,6,0.0,2.0,0.0,1.0,True,5 or more
30473,1.0,5,0.0,3.0,0.0,0.0,True,4
30481,1.0,6,0.0,2.0,0.0,1.0,True,2
30486,0.0,6,0.0,2.0,0.0,1.0,True,4
30489,0.0,5,2.0,3.0,0.0,0.0,True,2
30490,0.0,6,0.0,3.0,0.0,1.0,True,5 or more
30492,1.0,3,2.0,5.0,0.0,0.0,True,4
30500,0.0,6,0.0,4.0,0.0,1.0,True,2
30502,0.0,6,0.0,5.0,0.0,1.0,True,4
30505,1.0,4,2.0,2.0,0.0,0.0,True,2
30511,0.0,5,0.0,3.0,0.0,1.0,True,3
30515,1.0,5,0.0,2.0,0.0,1.0,False,5 or more
30516,1.0,6,0.0,1.0,0.0,0.0,True,1
30517,1.0,6,0.0,4.0,0.0,1.0,True,2
30521,0.0,5,0.0,3.0,0.0,1.0,False,4
30522,0.0,6,0.0,3.0,0.0,1.0,True,3
30530,0.0,6,1.0,2.0,1.0,0.0,True,1
30536,0.0,6,1.0,2.0,1.0,2.0,False,2
30538,1.0,4,2.0,3.0,1.0,0.0,False,4
30541,1.0,6,0.0,3.0,0.0,1.0,True,2
30542,0.0,5,0.0,3.0,0.0,1.0,True,5 or more
30543,1.0,5,0.0,3.0,1.0,1.0,True,3
30544,1.0,5,2.0,4.0,0.0,1.0,True,4
30546,0.0,6,0.0,3.0,0.0,1.0,True,4
30553,0.0,6,0.0,5.0,0.0,1.0,True,2
30555,0.0,5,2.0,3.0,0.0,0.0,True,2
30556,1.0,5,0.0,4.0,0.0,1.0,True,3
30558,1.0,4,0.0,4.0,0.0,0.0,True,2
30561,1.0,5,0.0,-1.0,1.0,1.0,True,4
30567,0.0,5,0.0,3.0,0.0,1.0,True,5 or more
30578,1.0,5,0.0,4.0,0.0,1.0,True,4
30580,0.0,6,0.0,3.0,0.0,1.0,True,4
30583,0.0,7,0.0,3.0,0.0,1.0,True,2
30591,1.0,4,0.0,4.0,0.0,0.0,True,2
30592,1.0,4,0.0,3.0,0.0,0.0,True,2
30593,1.0,4,0.0,1.0,0.0,0.0,True,1
30597,0.0,6,0.0,4.0,0.0,1.0,True,2
30600,0.0,6,0.0,4.0,0.0,1.0,True,2
30601,1.0,5,0.0,3.0,0.0,1.0,True,3
30605,1.0,4,1.0,2.0,0.0,1.0,True,2
30612,0.0,6,2.0,-1.0,0.0,1.0,True,4
30614,0.0,6,0.0,5.0,0.0,1.0,True,4
30617,1.0,3,2.0,3.0,0.0,0.0,True,2
30620,0.0,7,0.0,4.0,0.0,1.0,True,2
30622,0.0,6,1.0,3.0,0.0,0.0,True,1
30630,0.0,6,0.0,3.0,0.0,1.0,True,2
30631,1.0,6,0.0,4.0,0.0,1.0,True,3
30633,1.0,5,,2.0,2.0,0.0,False,3
30634,1.0,7,2.0,3.0,1.0,1.0,True,2
30636,1.0,5,0.0,5.0,0.0,1.0,True,5 or more
30640,0.0,7,0.0,3.0,0.0,1.0,True,3
30648,0.0,6,0.0,3.0,0.0,1.0,True,2
30650,0.0,5,0.0,3.0,1.0,1.0,False,3
30657,1.0,3,,3.0,0.0,0.0,True,5 or more
30658,0.0,6,0.0,5.0,0.0,1.0,True,3
30659,1.0,4,2.0,-1.0,0.0,0.0,True,5 or more
30663,0.0,6,0.0,5.0,0.0,1.0,True,4
30670,1.0,4,2.0,1.0,0.0,0.0,True,2
30677,0.0,6,0.0,3.0,0.0,1.0,False,2
30679,0.0,6,1.0,3.0,0.0,1.0,True,4
30681,1.0,5,0.0,1.0,0.0,1.0,True,2
30685,0.0,6,2.0,2.0,0.0,1.0,True,4
30687,0.0,6,0.0,4.0,0.0,1.0,True,4
30688,0.0,5,0.0,5.0,0.0,1.0,True,5 or more
30690,1.0,4,2.0,-1.0,0.0,0.0,True,2
30693,0.0,3,2.0,2.0,0.0,0.0,True,4
30694,0.0,6,0.0,2.0,0.0,1.0,True,2
30695,0.0,6,0.0,4.0,0.0,1.0,True,5 or more
30696,1.0,5,0.0,5.0,0.0,0.0,False,4
30697,0.0,6,0.0,5.0,0.0,1.0,True,2
