person_day_id,trip_id,mode,start_time,end_time,duration,preceding_purpose,following_purpose
30819_2022-12-16,0.0,walk,29849.0,31822.0,1973.0,home,education
30819_2022-12-16,1.0,walk,39911.0,40025.0,114.0,education,home
30819_2022-12-16,2.0,walk,63852.0,64015.0,163.0,home,shop
30819_2022-12-16,3.0,walk,64779.0,65388.0,609.0,shop,home
30819_2022-12-16,4.0,walk,69409.0,70111.0,702.0,home,other
30819_2022-12-16,5.0,walk,70494.0,71230.0,736.0,other,home
31100_2022-12-22,0.0,pt,39662.0,40201.0,539.0,home,other
31100_2022-12-22,1.0,pt,40588.0,41906.0,1318.0,other,shop
31100_2022-12-22,2.0,pt,43740.0,45449.0,1709.0,shop,home
31100_2022-12-22,3.0,bike,64369.0,64923.0,554.0,home,leisure
31100_2022-12-22,4.0,bike,79487.0,80231.0,744.0,leisure,home
30007_2022-11-07,0.0,pt,30279.0,32354.0,2075.0,home,education
30007_2022-11-07,1.0,walk,36300.0,36747.0,447.0,education,work
30007_2022-11-07,2.0,mpt,62237.0,63159.0,922.0,work,home
30327_2022-12-08,0.0,pt,21209.0,22921.0,1712.0,home,other
30327_2022-12-08,1.0,pt,25218.0,25709.0,491.0,other,other
30327_2022-12-08,2.0,pt,26037.0,27069.0,1032.0,other,home
30327_2022-12-08,3.0,walk,36275.0,46424.0,10149.0,home,home
30081_2022-12-01,0.0,mpt,45450.0,45762.0,312.0,work,other
30081_2022-12-01,1.0,mpt,46834.0,46894.0,60.0,other,other
30081_2022-12-01,2.0,mpt,47471.0,47679.0,208.0,other,other
30081_2022-12-01,3.0,mpt,48979.0,49353.0,374.0,other,work
30081_2022-12-01,4.0,walk,80370.0,80604.0,234.0,work,home
30505_2022-12-15,0.0,pt,40136.0,40900.0,764.0,home,other
30505_2022-12-15,1.0,pt,41480.0,42010.0,530.0,other,leisure
30505_2022-12-15,2.0,walk,53276.0,54565.0,1289.0,leisure,leisure
30505_2022-12-15,3.0,walk,54947.0,55169.0,222.0,leisure,leisure
30505_2022-12-15,4.0,pt,60335.0,61578.0,1243.0,leisure,home
30617_2022-10-28,0.0,pt,24044.0,26383.0,2339.0,home,work
30617_2022-10-28,1.0,pt,50392.0,51748.0,1356.0,work,home
30760_2022-11-20,0.0,walk,29762.0,30190.0,428.0,home,home
30760_2022-11-20,1.0,mpt,51315.0,56188.0,4873.0,home,leisure
30760_2022-11-20,2.0,pt,72393.0,74730.0,2337.0,leisure,home
31071_2022-11-09,0.0,walk,25529.0,26328.0,799.0,home,shop
31071_2022-11-09,1.0,walk,30041.0,30805.0,764.0,shop,home
31071_2022-11-09,2.0,walk,37340.0,37746.0,406.0,home,home
30593_2022-10-20,0.0,pt,16194.0,17388.0,1194.0,home,other
30593_2022-10-20,1.0,pt,17880.0,19649.0,1769.0,other,work
30593_2022-10-20,2.0,walk,40388.0,42828.0,2440.0,work,shop
30593_2022-10-20,3.0,walk,43220.0,43415.0,195.0,shop,shop
30593_2022-10-20,4.0,walk,44966.0,45360.0,394.0,shop,shop
30593_2022-10-20,5.0,pt,46046.0,46911.0,865.0,shop,home
30769_2022-11-04,0.0,mpt,46397.0,47148.0,751.0,home,home
30769_2022-11-04,1.0,mpt,57235.0,58056.0,821.0,home,leisure
30769_2022-11-04,2.0,mpt,60135.0,60654.0,519.0,leisure,shop
30769_2022-11-04,3.0,mpt,65311.0,65804.0,493.0,shop,home
30704_2022-11-09,0.0,walk,34612.0,37317.0,2705.0,home,home
31297_2022-07-29,0.0,mpt,32433.0,33399.0,966.0,home,home
31297_2022-07-29,1.0,walk,34147.0,34544.0,397.0,home,home
31297_2022-07-29,2.0,walk,35192.0,36446.0,1254.0,home,leisure
31297_2022-07-29,3.0,mpt,37140.0,37555.0,415.0,leisure,home
30358_2022-10-12,0.0,bike,34649.0,36215.0,1566.0,home,education
30358_2022-10-12,1.0,walk,40740.0,41108.0,368.0,education,leisure
30358_2022-10-12,2.0,walk,41478.0,42855.0,1377.0,leisure,other
30358_2022-10-12,3.0,bike,45756.0,46711.0,955.0,other,shop
30358_2022-10-12,4.0,bike,47459.0,47751.0,292.0,shop,shop
30358_2022-10-12,5.0,bike,48163.0,49486.0,1323.0,shop,home
30168_2022-09-04,0.0,mpt,20932.0,24847.0,3915.0,home,other
30168_2022-09-04,1.0,mpt,26231.0,45225.0,18994.0,other,home
30151_2022-08-25,0.0,pt,22496.0,24696.0,2200.0,home,other
30151_2022-08-25,1.0,pt,25390.0,32754.0,7364.0,other,education
30151_2022-08-25,2.0,walk,38129.0,38497.0,368.0,education,leisure
30151_2022-08-25,3.0,walk,39759.0,40306.0,547.0,leisure,education
30151_2022-08-25,4.0,pt,46317.0,49459.0,3142.0,education,home
31003_2022-12-22,0.0,mpt,26337.0,30000.0,3663.0,home,education
31003_2022-12-22,1.0,mpt,31794.0,32244.0,450.0,education,education
31003_2022-12-22,2.0,mpt,36062.0,36844.0,782.0,education,education
31003_2022-12-22,3.0,mpt,37221.0,37381.0,160.0,education,home
30704_2022-11-17,0.0,walk,35022.0,36125.0,1103.0,home,home
30704_2022-11-17,1.0,mpt,47167.0,47656.0,489.0,home,leisure
30704_2022-11-17,2.0,mpt,50076.0,50811.0,735.0,leisure,home
30385_2022-09-21,0.0,pt,38360.0,38861.0,501.0,home,other
30385_2022-09-21,1.0,pt,39194.0,40906.0,1712.0,other,leisure
30385_2022-09-21,2.0,walk,43997.0,44127.0,130.0,leisure,other
30385_2022-09-21,3.0,walk,44458.0,44539.0,81.0,other,other
30385_2022-09-21,4.0,walk,45888.0,46701.0,813.0,other,shop
30385_2022-09-21,5.0,walk,48583.0,49131.0,548.0,shop,other
30385_2022-09-21,6.0,pt,50321.0,53176.0,2855.0,other,home
30630_2022-11-24,0.0,walk,24677.0,28210.0,3533.0,home,home
30171_2022-12-11,0.0,mpt,40163.0,41444.0,1281.0,home,home
30171_2022-12-11,1.0,mpt,55864.0,57467.0,1603.0,home,home
30728_2022-11-29,0.0,mpt,47692.0,48380.0,688.0,home,other
30728_2022-11-29,1.0,mpt,48888.0,49613.0,725.0,other,education
30728_2022-11-29,2.0,mpt,50824.0,51187.0,363.0,education,home
30728_2022-11-29,3.0,mpt,60374.0,61198.0,824.0,home,home
30728_2022-11-29,4.0,pt,62030.0,62186.0,156.0,home,home
30728_2022-11-29,5.0,mpt,63636.0,63992.0,356.0,home,leisure
30728_2022-11-29,6.0,mpt,65538.0,66156.0,618.0,leisure,home
30728_2022-11-29,7.0,mpt,66617.0,67444.0,827.0,home,home
30083_2022-11-23,0.0,bike,42542.0,42922.0,380.0,home,education
30083_2022-11-23,1.0,bike,46298.0,46490.0,192.0,education,education
30083_2022-11-23,2.0,walk,56261.0,56361.0,100.0,education,leisure
30083_2022-11-23,3.0,pt,59875.0,61063.0,1188.0,leisure,home
30724_2022-10-19,0.0,pt,16005.0,16238.0,233.0,home,other
30724_2022-10-19,1.0,pt,16867.0,18551.0,1684.0,other,education
30724_2022-10-19,2.0,walk,37095.0,37342.0,247.0,education,leisure
30724_2022-10-19,3.0,walk,40000.0,40138.0,138.0,leisure,education
30724_2022-10-19,4.0,walk,47046.0,47119.0,73.0,education,education
30724_2022-10-19,5.0,pt,54299.0,58027.0,3728.0,education,home
