"","wfh_n_now","full_time","weekday","n","perc"
"1","1","full_time","monday",24,0.158940397350993
"2","1","full_time","tuesday",23,0.152317880794702
"3","1","full_time","wednesday",27,0.178807947019868
"4","1","full_time","thursday",27,0.178807947019868
"5","1","full_time","friday",61,0.403973509933775
"6","1","full_time","saturday",6,0.0397350993377483
"7","1","full_time","sunday",1,0.00662251655629139
"8","1","mult_part_time","monday",1,0.142857142857143
"9","1","mult_part_time","tuesday",1,0.142857142857143
"10","1","mult_part_time","thursday",2,0.285714285714286
"11","1","mult_part_time","friday",2,0.285714285714286
"12","1","mult_part_time","sunday",1,0.142857142857143
"13","1","part_time","monday",27,0.27
"14","1","part_time","tuesday",17,0.17
"15","1","part_time","wednesday",20,0.2
"16","1","part_time","thursday",21,0.21
"17","1","part_time","friday",23,0.23
"18","1","part_time","saturday",2,0.02
"19","1","part_time","sunday",1,0.01
"20","2","full_time","monday",57,0.41304347826087
"21","2","full_time","tuesday",39,0.282608695652174
"22","2","full_time","wednesday",48,0.347826086956522
"23","2","full_time","thursday",46,0.333333333333333
"24","2","full_time","friday",86,0.623188405797101
"25","2","full_time","saturday",2,0.0144927536231884
"26","2","full_time","sunday",1,0.0072463768115942
"27","2","mult_part_time","monday",3,0.6
"28","2","mult_part_time","tuesday",3,0.6
"29","2","mult_part_time","wednesday",3,0.6
"30","2","mult_part_time","thursday",2,0.4
"31","2","mult_part_time","friday",2,0.4
"32","2","mult_part_time","saturday",1,0.2
"33","2","mult_part_time","sunday",1,0.2
"34","2","part_time","monday",34,0.395348837209302
"35","2","part_time","tuesday",31,0.36046511627907
"36","2","part_time","wednesday",40,0.465116279069767
"37","2","part_time","thursday",35,0.406976744186047
"38","2","part_time","friday",34,0.395348837209302
"39","2","part_time","saturday",1,0.0116279069767442
"40","2","part_time","sunday",1,0.0116279069767442
"41","3","full_time","monday",84,0.705882352941177
"42","3","full_time","tuesday",51,0.428571428571429
"43","3","full_time","wednesday",58,0.487394957983193
"44","3","full_time","thursday",57,0.478991596638655
"45","3","full_time","friday",102,0.857142857142857
"46","3","full_time","saturday",2,0.0168067226890756
"47","3","full_time","sunday",1,0.00840336134453781
"48","3","mult_part_time","monday",4,1
"49","3","mult_part_time","tuesday",3,0.75
"50","3","mult_part_time","wednesday",2,0.5
"51","3","mult_part_time","friday",3,0.75
"52","3","mult_part_time","saturday",1,0.25
"53","3","mult_part_time","sunday",1,0.25
"54","3","part_time","monday",27,0.613636363636364
"55","3","part_time","tuesday",27,0.613636363636364
"56","3","part_time","wednesday",25,0.568181818181818
"57","3","part_time","thursday",25,0.568181818181818
"58","3","part_time","friday",24,0.545454545454545
"59","3","part_time","saturday",2,0.0454545454545455
"60","4","full_time","monday",61,0.792207792207792
"61","4","full_time","tuesday",44,0.571428571428571
"62","4","full_time","wednesday",50,0.649350649350649
"63","4","full_time","thursday",54,0.701298701298701
"64","4","full_time","friday",74,0.961038961038961
"65","4","full_time","saturday",5,0.0649350649350649
"66","4","full_time","sunday",5,0.0649350649350649
"67","4","mult_part_time","monday",3,1
"68","4","mult_part_time","tuesday",3,1
"69","4","mult_part_time","wednesday",1,0.333333333333333
"70","4","mult_part_time","thursday",3,1
"71","4","mult_part_time","friday",2,0.666666666666667
"72","4","part_time","monday",18,0.782608695652174
"73","4","part_time","tuesday",13,0.565217391304348
"74","4","part_time","wednesday",20,0.869565217391304
"75","4","part_time","thursday",16,0.695652173913043
"76","4","part_time","friday",19,0.826086956521739
"77","4","part_time","saturday",3,0.130434782608696
"78","4","part_time","sunday",3,0.130434782608696
"79","5","full_time","monday",46,0.978723404255319
"80","5","full_time","tuesday",46,0.978723404255319
"81","5","full_time","wednesday",44,0.936170212765957
"82","5","full_time","thursday",47,1
"83","5","full_time","friday",46,0.978723404255319
"84","5","full_time","saturday",5,0.106382978723404
"85","5","full_time","sunday",4,0.0851063829787234
"86","5","mult_part_time","monday",5,1
"87","5","mult_part_time","tuesday",4,0.8
"88","5","mult_part_time","wednesday",5,1
"89","5","mult_part_time","thursday",5,1
"90","5","mult_part_time","friday",4,0.8
"91","5","mult_part_time","saturday",2,0.4
"92","5","mult_part_time","sunday",2,0.4
"93","5","part_time","monday",18,1
"94","5","part_time","tuesday",18,1
"95","5","part_time","wednesday",17,0.944444444444444
"96","5","part_time","thursday",15,0.833333333333333
"97","5","part_time","friday",15,0.833333333333333
"98","5","part_time","saturday",3,0.166666666666667
"99","5","part_time","sunday",3,0.166666666666667
