canton_name,car,pt,walk,bike,car_passenger
Aargau,0.4675293055113612,0.1190013251859712,0.2209979470053,0.1030113420309186,0.0894600802664489
Appenzell Ausserrhoden,0.4780401289596327,0.1346248283614774,0.1876661822239769,0.0681901312627826,0.1314787291921302
Appenzell Innerrhoden,0.5969731952256152,0.0170627267741252,0.1493867838799795,0.1084040897198785,0.1281732044004014
Basel-Landschaft,0.4089683922652188,0.1810588104831296,0.2229150575256976,0.0970906465166005,0.0899670932093533
Basel-Stadt,0.1791653911252179,0.2927230214489017,0.2863394416688613,0.1905009729896959,0.051271172767323
Bern,0.4103284822418895,0.1540278402474459,0.2232456329842589,0.120623189077008,0.0917748554493974
Fribourg,0.5181974408000016,0.1152117753096019,0.2198865837068288,0.0234604791043995,0.1232437210791679
GenÃ¨ve,0.2894720630811371,0.2055200488362012,0.363961487487796,0.0684017573335047,0.0726446432613609
Glarus,0.4900765726079213,0.0791822891105325,0.2301407731825478,0.1112326516951139,0.0893677134038843
GraubÃ¼nden,0.455072885950299,0.0927098683627369,0.3042564152579173,0.0742389070880369,0.0737219233410097
Jura,0.5768817922068632,0.0647034588285386,0.1955355306344346,0.0514806422448758,0.1113985760852876
Luzern,0.4627890270091063,0.1297238394368778,0.2278783401886982,0.0951986843159303,0.0844101090493871
NeuchÃ¢tel,0.4799848754803154,0.1145851226762204,0.2681698195266004,0.0230891643640421,0.1141710179528215
Nidwalden,0.4895890017276258,0.0844216836240056,0.2192881682216443,0.1140249416216066,0.0926762048051175
Obwalden,0.5038332762594326,0.0884857873011079,0.2317359735124537,0.0825951567568596,0.0933498061701459
Schaffhausen,0.449694210073609,0.1610828782417622,0.2346529018730347,0.087823067340576,0.0667469424710178
Schwyz,0.5116394171325053,0.1017047041725719,0.2383569154250558,0.0538044211422137,0.0944945421276531
Solothurn,0.4767772114822144,0.1150035514764754,0.2230124880968287,0.0878401752395171,0.0973665737049641
St. Gallen,0.4523022813177,0.114905674258273,0.2320807314015198,0.103932659781222,0.0967786532412849
Thurgau,0.5244951408409338,0.0772414267274425,0.2067292037359011,0.0972977334194468,0.0942364952762755
Ticino,0.4867961824178653,0.0668838227515479,0.2931443238922998,0.0294352511488681,0.1237404197894187
Uri,0.4371010334964696,0.086703923825217,0.2462440692896058,0.1110404752686294,0.118910498120078
Valais,0.4830101367958762,0.067778741777187,0.3032542349929626,0.0395489831367877,0.1064079032971863
Vaud,0.4540740785734054,0.1433536428576986,0.2745552167388708,0.0244321299191668,0.1035849319108583
Zug,0.4042324321426593,0.1119060738335179,0.2904871888251043,0.1158968152332258,0.0774774899654926
ZÃ¼rich,0.3413670208278552,0.213579635552414,0.2649092397609291,0.100279800553456,0.0798643033053456
