iter	MultiClass
0	1.587626725
1	1.567306253
2	1.548590301
3	1.53117561
4	1.515248092
5	1.500856191
6	1.487191105
7	1.473598789
8	1.46186251
9	1.449468775
10	1.437928151
11	1.426702572
12	1.415575754
13	1.405236185
14	1.395390169
15	1.386240515
16	1.377615598
17	1.36923142
18	1.361459277
19	1.354269321
20	1.347291488
21	1.340657692
22	1.333828118
23	1.327348459
24	1.321292886
25	1.315007377
26	1.309641915
27	1.3043623
28	1.298950641
29	1.294147235
30	1.289627748
31	1.285077256
32	1.280570222
33	1.276187956
34	1.272091363
35	1.268106318
36	1.264851173
37	1.261042086
38	1.257678589
39	1.254149662
40	1.251140714
41	1.247937066
42	1.244971595
43	1.2417029
44	1.239104599
45	1.236249943
46	1.233601167
47	1.230699227
48	1.228020066
49	1.22557378
50	1.22302021
51	1.220745626
52	1.218459366
53	1.216137079
54	1.213940261
55	1.21188524
56	1.209742805
57	1.207769677
58	1.20563844
59	1.203634666
60	1.201816187
61	1.200198461
62	1.19858009
63	1.197433182
64	1.195830388
65	1.194036658
66	1.192367597
67	1.190680527
68	1.189084156
69	1.187670763
70	1.186121021
71	1.184596044
72	1.183155455
73	1.181622759
74	1.180252558
75	1.179039631
76	1.177805674
77	1.176610522
78	1.175380356
79	1.174190264
80	1.172994652
81	1.171667896
82	1.170644636
83	1.169534135
84	1.168581886
85	1.167402544
86	1.166487589
87	1.165433391
88	1.164368088
89	1.163343297
90	1.16225361
91	1.161238922
92	1.160413961
93	1.159546776
94	1.158600006
95	1.157795591
96	1.156610514
97	1.155951847
98	1.154892813
99	1.153941786
100	1.153045249
101	1.152288572
102	1.151453067
103	1.150697683
104	1.150053716
105	1.149407388
106	1.148645571
107	1.147849311
108	1.147102503
109	1.146522068
110	1.14583109
111	1.145264147
112	1.144698433
113	1.144182696
114	1.14344959
115	1.14257523
116	1.141775801
117	1.141207171
118	1.141003123
119	1.14041348
120	1.139664527
121	1.139179707
122	1.138601629
123	1.138067575
124	1.137573906
125	1.137007842
126	1.136309488
127	1.135698291
128	1.135019211
129	1.134530265
130	1.133944387
131	1.133348374
132	1.132775801
133	1.132207648
134	1.131644433
135	1.130956904
136	1.13053754
137	1.129968134
138	1.12944969
139	1.128989121
140	1.128528293
141	1.128419604
142	1.127981881
143	1.127906569
144	1.127338868
145	1.126790796
146	1.126248334
147	1.125833728
148	1.125253769
149	1.124753949
150	1.124306199
151	1.12370591
152	1.123187684
153	1.122590634
154	1.122220813
155	1.121902004
156	1.121275088
157	1.121131761
158	1.121059463
159	1.120608845
160	1.119811842
161	1.119482341
162	1.119124538
163	1.118758338
164	1.118337
165	1.118246186
166	1.117604813
167	1.116958024
168	1.116326291
169	1.11583008
170	1.115754309
171	1.115152914
