iter	Passed	Remaining
0	40	40243
1	79	39796
2	120	40050
3	154	38348
4	189	37767
5	227	37704
6	267	37930
7	287	35665
8	299	33002
9	337	33400
10	353	31772
11	392	32299
12	443	33688
13	482	33983
14	520	34203
15	556	34239
16	594	34377
17	627	34249
18	659	34069
19	698	34235
20	736	34355
21	775	34489
22	812	34526
23	849	34553
24	886	34555
25	921	34525
26	958	34528
27	996	34603
28	1031	34544
29	1066	34487
30	1125	35182
31	1167	35321
32	1207	35372
33	1244	35370
34	1281	35332
35	1318	35309
36	1357	35324
37	1391	35232
38	1429	35213
39	1466	35200
40	1501	35119
41	1536	35052
42	1580	35177
43	1639	35621
44	1678	35618
45	1713	35544
46	1750	35498
47	1788	35463
48	1825	35429
49	1862	35392
50	1900	35358
51	1936	35308
52	1975	35292
53	2010	35219
54	2047	35182
55	2083	35130
56	2121	35095
57	2159	35073
58	2199	35072
59	2234	35006
60	2274	35018
61	2311	34970
62	2346	34900
63	2356	34465
64	2393	34431
65	2431	34403
66	2468	34378
67	2505	34334
68	2540	34283
69	2598	34517
70	2634	34473
71	2669	34411
72	2705	34350
73	2741	34311
74	2777	34259
75	2812	34199
76	2849	34156
77	2885	34112
78	2923	34081
79	2960	34040
80	2996	33993
81	3035	33979
82	3071	33935
83	3108	33901
84	3147	33884
85	3182	33828
86	3218	33772
87	3256	33749
88	3293	33708
89	3328	33652
90	3363	33598
91	3403	33590
92	3441	33561
93	3476	33509
94	3512	33465
95	3550	33431
96	3585	33381
97	3620	33326
98	3658	33298
99	3706	33360
100	3743	33324
101	3781	33293
102	3820	33269
103	3856	33225
104	3878	33058
105	3920	33063
106	3957	33030
107	3996	33006
108	4036	32997
109	4073	32959
110	4110	32924
111	4149	32900
112	4188	32879
113	4227	32859
114	4267	32838
115	4307	32824
116	4345	32796
117	4383	32767
118	4394	32531
119	4432	32506
120	4469	32468
121	4509	32456
122	4551	32452
123	4592	32443
124	4630	32412
125	4669	32387
126	4703	32331
127	4759	32426
128	4794	32372
129	4830	32325
130	4865	32277
131	4902	32240
132	4937	32189
133	4973	32142
134	5013	32123
135	5050	32084
136	5090	32067
137	5127	32026
138	5164	31989
139	5203	31961
140	5238	31914
141	5244	31689
142	5280	31647
143	5287	31434
144	5358	31595
145	5394	31553
146	5432	31525
147	5469	31485
148	5505	31441
149	5539	31392
150	5575	31348
151	5610	31302
152	5645	31254
153	5685	31231
154	5721	31192
155	5756	31145
156	5792	31100
157	5800	30911
158	5807	30718
159	5864	30789
160	5900	30748
161	5936	30708
162	5972	30669
163	6009	30634
164	6049	30613
165	6056	30428
166	6098	30417
167	6139	30406
168	6183	30405
169	6223	30387
170	6232	30217
171	6271	30192
172	6311	30170
173	6352	30157
174	6393	30142
175	6429	30102
176	6465	30060
177	6519	30107
178	6556	30069
179	6561	29892
180	6600	29864
181	6635	29823
182	6672	29787
183	6711	29764
184	6747	29727
185	6785	29696
186	6821	29658
187	6859	29627
188	6897	29598
189	6934	29564
190	6971	29529
191	7008	29492
192	7067	29553
193	7104	29517
194	7115	29375
195	7151	29336
196	7190	29309
197	7228	29279
198	7268	29257
199	7305	29223
200	7341	29183
201	7377	29143
202	7413	29107
203	7451	29074
204	7486	29033
205	7524	29002
206	7586	29063
207	7626	29039
208	7662	29001
209	7700	28968
210	7736	28929
211	7772	28888
212	7807	28848
213	7845	28815
214	7880	28773
215	7918	28740
216	7956	28708
217	7994	28676
218	8031	28642
219	8068	28607
220	8106	28575
221	8141	28533
222	8178	28496
223	8215	28462
224	8252	28425
225	8288	28385
226	8323	28343
227	8363	28319
228	8401	28287
229	8442	28262
230	8482	28239
231	8519	28203
232	8559	28177
233	8597	28143
234	8635	28111
235	8673	28078
236	8709	28039
237	8748	28009
238	8785	27972
239	8820	27932
240	8858	27898
241	8897	27869
242	8932	27826
243	8969	27789
244	9006	27754
245	9045	27725
246	9084	27694
247	9142	27721
248	9183	27698
249	9221	27663
250	9259	27630
251	9296	27594
252	9337	27570
253	9373	27528
254	9410	27494
255	9447	27456
256	9452	27329
257	9488	27289
258	9524	27248
259	9559	27209
260	9623	27248
261	9659	27209
262	9700	27182
263	9741	27159
264	9778	27122
265	9814	27083
266	9851	27044
267	9888	27008
268	9928	26981
269	9964	26940
270	10001	26904
271	10037	26865
272	10075	26830
273	10111	26790
274	10147	26752
275	10183	26713
276	10220	26677
277	10275	26686
278	10314	26654
279	10352	26619
280	10386	26575
281	10425	26545
282	10463	26510
283	10500	26472
284	10537	26435
285	10574	26400
286	10612	26365
287	10650	26329
288	10686	26291
289	10725	26259
290	10764	26226
291	10801	26191
292	10839	26154
293	10877	26120
294	10915	26085
295	10950	26044
296	10986	26005
297	11022	25966
298	11058	25926
299	11097	25893
300	11132	25852
301	11167	25811
302	11205	25775
303	11244	25744
304	11281	25706
305	11318	25669
306	11355	25631
307	11392	25596
308	11429	25559
309	11440	25463
310	11480	25434
311	11521	25406
312	11559	25371
313	11596	25334
314	11635	25302
315	11673	25268
316	11714	25239
317	11752	25204
318	11758	25101
319	11797	25070
320	11839	25043
321	11878	25011
322	11915	24974
323	11952	24938
324	11990	24903
325	12028	24868
326	12065	24831
327	12102	24795
328	12142	24765
329	12183	24735
330	12222	24704
331	12261	24671
332	12300	24638
333	12339	24605
334	12379	24573
335	12417	24539
336	12454	24502
337	12513	24507
338	12548	24468
339	12584	24428
340	12620	24390
341	12658	24354
342	12697	24321
343	12738	24292
344	12774	24253
345	12809	24212
346	12848	24178
347	12883	24138
348	12923	24106
349	12957	24064
350	13021	24075
351	13057	24038
352	13093	23997
353	13128	23957
354	13165	23919
355	13204	23886
356	13239	23846
357	13276	23808
358	13311	23768
359	13346	23727
360	13385	23694
361	13421	23654
362	13457	23615
363	13499	23586
364	13560	23592
365	13597	23553
366	13634	23516
367	13670	23476
368	13707	23439
369	13742	23399
370	13780	23363
371	13820	23330
372	13858	23295
373	13893	23254
374	13929	23215
375	13966	23179
376	14001	23138
377	14038	23099
378	14075	23063
379	14111	23024
380	14176	23031
381	14210	22990
382	14258	22969
383	14299	22938
384	14336	22901
385	14374	22865
386	14411	22828
387	14450	22792
388	14489	22758
389	14526	22720
390	14563	22683
391	14602	22648
392	14640	22612
393	14680	22580
394	14717	22541
395	14783	22547
396	14820	22511
397	14858	22473
398	14895	22435
399	14930	22395
400	14966	22356
401	15005	22321
402	15042	22284
403	15080	22247
404	15118	22211
405	15156	22174
406	15194	22137
407	15230	22098
408	15267	22061
409	15304	22023
410	15338	21982
411	15376	21945
412	15412	21905
413	15450	21869
414	15489	21834
415	15525	21795
416	15560	21755
417	15600	21721
418	15643	21691
419	15681	21655
420	15718	21617
421	15756	21581
422	15793	21543
423	15829	21504
424	15866	21466
425	15906	21432
426	15943	21395
427	15981	21358
428	16021	21324
429	16058	21287
430	16096	21250
431	16133	21212
432	16172	21177
433	16208	21138
434	16249	21105
435	16286	21067
436	16322	21029
437	16361	20992
438	16401	20959
439	16439	20923
440	16474	20883
441	16509	20842
442	16549	20807
443	16584	20768
444	16620	20728
445	16657	20691
446	16693	20651
447	16733	20617
448	16777	20588
449	16814	20550
450	16852	20513
451	16920	20514
452	16962	20481
453	16999	20444
454	17036	20406
455	17071	20366
456	17108	20327
457	17144	20289
458	17186	20256
459	17222	20217
460	17260	20180
461	17296	20141
462	17339	20111
463	17378	20075
464	17418	20040
465	17455	20003
466	17491	19963
467	17532	19929
468	17570	19893
469	17608	19856
470	17645	19818
471	17683	19781
472	17740	19765
473	17779	19730
474	17819	19695
475	17855	19656
476	17893	19618
477	17930	19581
478	17967	19543
479	18005	19505
480	18043	19468
481	18097	19448
482	18136	19413
483	18176	19378
484	18213	19340
485	18250	19301
486	18293	19269
487	18330	19231
488	18367	19193
489	18404	19156
490	18443	19119
491	18478	19079
492	18514	19039
493	18551	19002
494	18590	18966
495	18629	18930
496	18668	18893
497	18707	18857
498	18744	18819
499	18779	18779
500	18817	18742
501	18853	18703
502	18902	18676
503	18940	18639
504	18977	18601
505	19016	18565
506	19053	18527
507	19087	18486
508	19125	18449
509	19164	18412
510	19201	18374
511	19237	18335
512	19296	18318
