line_id,origin_canton,line_name,stop_id,num_cantons,canton_list
91-3-L-j24-1,"['Basel-Stadt', 'Basel-Landschaft', 'Aargau', 'Thurgau', 'Schaffhausen', 'StGallen']",3,619,6,"Aargau, Basel-Landschaft, Basel-Stadt, Schaffhausen, StGallen, Thurgau"
91-15-B-j24-1,"['Bern', 'Fribourg', 'Aargau', 'Vaud', 'Geneve', 'Luzern']",IR15,434,6,"Aargau, Bern, Fribourg, Geneve, Luzern, Vaud"
91-3-N-j24-1,"['Basel-Stadt', 'Basel-Landschaft', 'Aargau', 'Thurgau', 'StGallen', 'Schaffhausen']",RE3,91,6,"Aargau, Basel-Landschaft, Basel-Stadt, Schaffhausen, StGallen, Thurgau"
91-5-A-j24-1,"['Solothurn', 'StGallen', 'Zurich', 'Vaud', 'Geneve']",IC5,836,5,"Geneve, Solothurn, StGallen, Vaud, Zurich"
91-1-D-j24-1,"['StGallen', 'Zurich', 'Bern', 'Geneve', 'Vaud']",IC1,502,5,"Bern, Geneve, StGallen, Vaud, Zurich"
91-VAE-j24-1,"['StGallen', 'Schwyz', 'AppenzellAusserrhoden', 'Luzern', 'Zurich']",VAE,486,5,"AppenzellAusserrhoden, Luzern, Schwyz, StGallen, Zurich"
91-1-C-j24-1,"['Thurgau', 'Schaffhausen', 'StGallen', 'Zurich']",S1,3400,4,"Schaffhausen, StGallen, Thurgau, Zurich"
91-24-j24-1,"['Schaffhausen', 'Zurich', 'Zug', 'Thurgau']",S24,1854,4,"Schaffhausen, Thurgau, Zug, Zurich"
91-3-B-j24-1,"['Basel-Landschaft', 'Basel-Stadt', 'Solothurn', 'Jura']",S3,1847,4,"Basel-Landschaft, Basel-Stadt, Jura, Solothurn"
91-12-j24-1,"['Aargau', 'Zurich', 'StGallen', 'Thurgau']",S12,1814,4,"Aargau, StGallen, Thurgau, Zurich"
91-30-H-j24-1,"['Aargau', 'Basel-Landschaft', 'Basel-Stadt', 'Schaffhausen']",30,918,4,"Aargau, Basel-Landschaft, Basel-Stadt, Schaffhausen"
91-5-j24-1,"['Neuchatel', 'Bern', 'Fribourg', 'Vaud']",S5,767,4,"Bern, Fribourg, Neuchatel, Vaud"
91-35-A-j24-1,"['Bern', 'Zurich', 'Schwyz', 'Graubunden']",IR35,491,4,"Bern, Graubunden, Schwyz, Zurich"
91-75-j24-1,"['Thurgau', 'Zug', 'Zurich', 'Luzern']",IR75,466,4,"Luzern, Thurgau, Zug, Zurich"
